name,website,actual-website,address,company-overview
Goodeehoo,https://homeandgift.co.uk/exhibitor/goodeehoo,www.goodeehoo.com,"Wokingham, United Kingdom","Trends that turn heads. Design led, vegan friendly approach to handbags, accessories and gifts for both Women and Men. After startting up in September of 2018 Goodeehoo has grown, now appearing in over 50 outlets in the UK, we are ready to really make claim for our space on your shelves. We provide Environmentally Friendly gift bags and tissue paper with each wholesale purchase, allowing you, the retailer, to provide your shoppers with the complete Goodeehoo experience. Visit us at Home & Gift to see our new items and to discuss how Goodeehoo can help you achieve great margins!"
Goodlookers(London) Ltd,https://homeandgift.co.uk/exhibitor/goodlookerslondon-ltd,www.goodlookers.co.uk,"Rochester, United Kingdom",description
Gracee Jewellery,https://homeandgift.co.uk/exhibitor/gracee-jewellery,website,"Watford, United Kingdom",description
Grand Illusions,https://homeandgift.co.uk/exhibitor/grand-illusions,website,United Kingdom,description
Green Grove Weavers,https://homeandgift.co.uk/exhibitor/green-grove-weavers,www.greengroveweavers.com,"Aberdare, United Kingdom","Green Grove Weavers are designers with a passion for creating original contemporary design based on the rich traditions of Scottish craftsmanship. Accessories for fashion and the home in merino lambswools, fine mohairs and natural Jacob British wools. Throws, rugs, cushions, wraps, scarves, hats and gloves. Made in the United Kingdom."
Half Moon Bay Ltd,https://homeandgift.co.uk/exhibitor/half-moon-bay-ltd,www.halfmoonbay.co.uk,"Bath, United Kingdom","For 25 years, Half Moon Bay have supplied retailers of all sizes across the globe with our award-winning licensed and themed giftware. Based in central Bath, with our distribution centre in Wiltshire and an office in Dongguan, China, we are a dedicated, enthusiastic and experienced team. Great design and quality are at the heart of everything we do, and this is reflected in all three divisions of our business; Half Moon Bay Best known for our love of retro classics and iconic licenses, we are proud to represent many of the world’s best entertainment brands including Harry Potter, Game of Thrones, Disney, Marvel, DC Comics and more. Our portfolio of licenses is always evolving, head to Our Brands to see what’s currently available. Ice House Books Ice House Books publish books and gift books, including own brand titles and licensed ones too, with beloved brands such as Moomin, The Beano, Thunderbirds and more receiving titles in our launch year. If you’d like to register an account with us, click here to give us your details and place your first Half Moon Bay order! Our Story Our family-owned business began in 1995 by distributing unusual giftware products from the USA, inspiring us to name the company Half Moon Bay! (Half Moon Bay is in California). We quickly moved into designing and sourcing our own products, becoming known for our love of retro classics and iconic licenses. Today, we’re proud to represent many of the world’s biggest entertainment brands, working with Disney, Warner Bros. and others to create outstanding products that consumers love. We expanded in 2008 with the acquisition of Robert Opie Trading Ltd, which used nostalgic images taken from The Robert Opie Collection on a diverse range of products, enabling us to take our first strides into the heritage, museum and traditional giftware retail markets. Throughout our 20-year history we’ve remained an independent, family owned business with a simple mission; to offer our retail customers products that sell at consumer level, backed up by a straight forward and easy to deal with customer service approach."
Half Moon Bay Ltd,https://homeandgift.co.uk/exhibitor/half-moon-bay-ltd,www.halfmoonbay.co.uk,"Bath, United Kingdom","For 25 years, Half Moon Bay have supplied retailers of all sizes across the globe with our award-winning licensed and themed giftware. Based in central Bath, with our distribution centre in Wiltshire and an office in Dongguan, China, we are a dedicated, enthusiastic and experienced team. Great design and quality are at the heart of everything we do, and this is reflected in all three divisions of our business; Half Moon Bay Best known for our love of retro classics and iconic licenses, we are proud to represent many of the world’s best entertainment brands including Harry Potter, Game of Thrones, Disney, Marvel, DC Comics and more. Our portfolio of licenses is always evolving, head to Our Brands to see what’s currently available. Ice House Books Ice House Books publish books and gift books, including own brand titles and licensed ones too, with beloved brands such as Moomin, The Beano, Thunderbirds and more receiving titles in our launch year. If you’d like to register an account with us, click here to give us your details and place your first Half Moon Bay order! Our Story Our family-owned business began in 1995 by distributing unusual giftware products from the USA, inspiring us to name the company Half Moon Bay! (Half Moon Bay is in California). We quickly moved into designing and sourcing our own products, becoming known for our love of retro classics and iconic licenses. Today, we’re proud to represent many of the world’s biggest entertainment brands, working with Disney, Warner Bros. and others to create outstanding products that consumers love. We expanded in 2008 with the acquisition of Robert Opie Trading Ltd, which used nostalgic images taken from The Robert Opie Collection on a diverse range of products, enabling us to take our first strides into the heritage, museum and traditional giftware retail markets. Throughout our 20-year history we’ve remained an independent, family owned business with a simple mission; to offer our retail customers products that sell at consumer level, backed up by a straight forward and easy to deal with customer service approach."
HAUS,https://homeandgift.co.uk/exhibitor/haus,www.inthehaus.co.uk,"Stoke-on-Trent, United Kingdom",description
HCR Trading LTD,https://homeandgift.co.uk/exhibitor/hcr-trading-ltd,www.reevesandreeves.com,United Kingdom,"Reeves & Reeves are, at the heart, husband and wife team Heath and Caroline, who (with a small team of like-minded individuals) work from a fantastic converted blacksmith’s forge in the idyllic grounds of Forde Abbey, in West Dorset. The setting, surrounded by beautiful gardens, beaches, horses, wildlife and countryside is a strong influence on our style, but their backgrounds in the fashion world and a love of travel also shine through. Caroline, who trained in Textile Design prior to Silversmithing at Leeds University, designs most of the pieces herself, and Heath’s background in retail and fashion means he knows just what both retailers and consumers are going to love. As design is at the heart of what we do, quality and detail are hugely important, and we are personally involved in every step of the manufacturing process. We are still essentially a family-run business, but with some major corporate customers, many commissioning their own ranges, and many wonderful independent stockists from the southern tip of Cornwall to the Orkneys. We have big ambitions, and we hope to see Reeves & Reeves bringing a touch of style to your parties, holidays, special events or just everyday days for generations to come. Quality is crucial to us. All our silver is Assay Assured, and hall-marked when required, and all our gold is 18 carat gold vermeil (18 carat gold over sterling silver). All our precious stones are real, and our pearls are genuine cultured pearls."
Heart Of The Country,https://homeandgift.co.uk/exhibitor/heart-of-the-country,www.HeartoftheCountryLtd.co.uk,"Lichfield, United Kingdom",description
Heathcote & Ivory Ltd,https://homeandgift.co.uk/exhibitor/heathcote--ivory-ltd,website,"London, United Kingdom",description
Heather Alstead,https://homeandgift.co.uk/exhibitor/heather-alstead,website,"Selby, United Kingdom",description
Heaven Scent Incense,https://homeandgift.co.uk/exhibitor/heaven-scent-incense,www.heavenscent.co.uk,"Aberdare, United Kingdom",description
Hellmann Versand GMBH,https://homeandgift.co.uk/exhibitor/hellmann-versand-gmbh,www.hellmann-versand.de,"Erlangen, Germany",description
Heyland and Whittle,https://homeandgift.co.uk/exhibitor/heyland-and-whittle,website,United Kingdom,description
History & Heraldry,https://homeandgift.co.uk/exhibitor/history--heraldry,www.historyheraldry.com,"Rotherham, United Kingdom","The go-to company for all your impulse-buy needs - specialising in personalised, sentiment-based and Christmas gifts for a whole variety of retail outlets, including garden centres, visitor attractions and independents. Our Heart & Home brand is ideal for your home fragracing category, with soy wax and stylish collections core to the range. With all our gifts designed in the UK, you can be assured of quality, originality and of course bestsellers. We have topped the GTN Christmas bestsellers chart for many years, with our Light Up Angels & Snowmen decorations taking the number one spot for 2018!"
Home County Candle Co.,https://homeandgift.co.uk/exhibitor/home-county-candle-co,www.homecountycandleco.com,United Kingdom,"OUR STORY The Home County Candle Co. is a luxury home fragrance brand founded in 2018. At the Home County Candle Co. we hand-pour our range of beautifully scented soy candles and reed diffusers from our workshop in Hertfordshire. OUR INSPIRATION We feel that each of the counties that we have lived in, worked in and had the pleasure of visiting has its own unique character. We have therefore drawn upon our experiences and memories to create our unique scents, each inspired by the county it is named after. OUR MISSION At the Home County Candle Co. we are passionate about the abundance of outstanding natural beauty surrounding our home and workshop, which is why we are committed to producing sustainable products with minimal impact on the environment. Our candles are produced from natural soy wax, which is biodegradable, and vegan friendly. Our sustainable wooden crackle wicks also not only look great but burn more slowly with a cleaner burn and more flame time. It is important to us to support as many local businesses as we can whilst manufacturing our candles. We therefore take great care to select suppliers from within the UK, and more specifically the Home Counties wherever possible. ""TO CREATE BEAUTIFUL, SUSTAINABLE HAND CRAFTED PRODUCTS WHICH PERFECTLY REPRESENT THE ESSENCE OF THE HOME COUNTIES"""
Honest-Love Our Planet,https://homeandgift.co.uk/exhibitor/honest-love-our-planet,honestlop.com,"Swindon, United Kingdom",description
Honey Darling Candle Company,https://homeandgift.co.uk/exhibitor/honey-darling-candle-company,website,"Stirling, United Kingdom",description
Hot Tomato,https://homeandgift.co.uk/exhibitor/hot-tomato,www.hot-tom.com,"Frome, United Kingdom","Harrogate Home & Gift - our favourite show! Hot Tomato has been designing & sourcing fashion accessories since 2007 & prides itself with offering a real point of difference in store. Expect to find styling across the board, from urban vintage through to uber-pretty, feminine pieces, all with the opportunity of a great margin for retail - what's not to love!"
House of Flavours,https://homeandgift.co.uk/exhibitor/house-of-flavours,website,"Chippenham, United Kingdom",description
House of Marbles,https://homeandgift.co.uk/exhibitor/house-of-marbles,www.houseofmarbles.com/tradeuk,"Exeter, United Kingdom","House of Marbles has been bringing fun and games to families since 1973. Our must-have collection is packed with nostalgic toys, games, novelties and unique books to encourage family time and good, old fashioned fun! You’ll find everything from pocket money classics, retro-inspired games and outdoor play to activity sets, musical toys and perplexing puzzles. Customers can also choose from a hand-picked collection of gift books for children and adults. We design our products in-house to bring you an exciting and innovative range of gifts and novelties perfect for the gift trade. All our products come in retro-inspired packaging that will look fantastic instore and our carriage paid starts from just £150. So if you’re looking for very best in timeless toys and games, make sure you head to House of Marbles to see what they have to offer. You can view our catalogue HERE"
House of Puzzles Ltd,https://homeandgift.co.uk/exhibitor/house-of-puzzles-ltd,www.thehouseofpuzzles.com,United Kingdom,description
How + Hill / Belle & Flo,https://homeandgift.co.uk/exhibitor/how--hill--belle--flo,hillandhow.com,"Burgess Hill, United Kingdom",description
Hubble Bubble Organics,https://homeandgift.co.uk/exhibitor/hubble-bubble-organics,hubblebubbleorganics.co.uk,"Burgess Hill, United Kingdom",description
iBeani,https://homeandgift.co.uk/exhibitor/ibeani,www.ibeani.co.uk,"Mansfield, United Kingdom","iBeani® iPad, Tablet & eReader Cushion Demand complete comfort when using your tablet, eReader or book! Described by Mac Sources as ""The World's Most Comfortable Tablet Stand"" iBeani is an ultra-lightweight award-winning, UK designed, universal tablet cushion, suitable to hold any tablet device, eReader or book, at any viewing angle on pretty much any surface.With on-trend designs to suit all, iBeani is the must have lifestyle accessory for every home, and a great gift idea too! As a premium brand, iBeani is continues to grow from strength to strength, with large retailers, garden centres and independent gift shops seeing an ever-increasing demand for the product. With LOW minimum orders, a great wholesale price and free delivery, add iBeani to your stock list today."
Icon Watches,https://homeandgift.co.uk/exhibitor/icon-watches,www.iconwatches.com,"London, United Kingdom","Distributors of Elie Beaumont, South Audley, Anaii and Serendipity Watches. Trade price from £4.95 - £24.95. Minimum order £150. AW19 ranges launching at Harrogate."
I love you this much,https://homeandgift.co.uk/exhibitor/i-love-you-this-much,www.iloveyouthismuch.me,"York, United Kingdom",description
Inis the energy of the sea,https://homeandgift.co.uk/exhibitor/inis-the-energy-of-the-sea,www.inisfragrance.com,"Wicklow, Ireland","We are an independent perfume house based in Wicklow, Ireland. Our aim is to inspire, uplift and make people happy through our fragrance collections. Our best selling perfume 'Inis - the Energy of the Sea' was inspired by summer days spent on a beach on the west coast of Ireland. Inis is a sparkling, clean, unisex cologne that captures the coolness and purity of the ocean. Our Inis range includes a complete body collection that is enriched with sea minerals, handharvested seaweed extract and natural oils."
Inside Out Toys Ltd,https://homeandgift.co.uk/exhibitor/inside-out-toys-ltd,www.insideouttoys.co.uk,"Milton Keynes, United Kingdom","Julian and I ‘joined forces’ in 2012 and Inside Out Toys Ltd was borne out of a desire to create something which would keep us both busy up until retirement age. Both of us had come from corporate backgrounds and the lure of working for ourselves was strong! The company was originally established in a small industrial unit just outside Derby – Julian’s hometown – and it moved to Milton Keynes in 2016 when we bought our family home in Silverstone. Between us, we have 6 children – 4 of whom are all grown up, and 2 still living at home – so we know only too well the sort of toys children love to play with and those that parents love to have in their homes! We have a small dedicated team at our premises in Milton Keynes and have always prided ourselves in being a family-friendly employer – taking our responsibilities seriously in terms of offering flexible working and looking after our employees. We also recognise that we have a social responsibility as a business and try to support as many charities as we can every year – through donations to Northamptonshire Health Charity and Giving World amongst others. Our product ranges are constantly evolving – influenced by feedback from a growing army of loyal trade customers. We recognise the desire for sustainable toys, produced by ethically and socially responsible manufacturers and the brands we offer reflect those values. Jumini, our own brand of brightly coloured wooden toys, was launched in 2016 and this was followed in 2019 by the Studio Circus collection of pastel coloured wooden toys, which are designed in the Netherlands. We have been actively looking for other brands of environmentally friendly toys to add to our portfolio and came across the award-winning Tikiri brand of natural rubber and organic cotton toys at Spring Fair 2020. So, we are immensely proud to have been chosen to represent this brand in the United Kingdom. More recently we finalised an agreement to become the UK distributor for Viking Toys and their Ecoline of environmentally friendly 'plastic' toys, made from sugar cane! We hope you will love what we have to offer as much as we do and cannot wait to supply you with some toys for your store! Julian & Nikki Garner Inside Out Toys Ltd Trade Website"
Intelex Limited,https://homeandgift.co.uk/exhibitor/intelex-limited,www.warmies.co.uk,"Wellingborough, United Kingdom","Warmies® was founded on a very simple premise, that everyone might experience comfort in their everyday life. Inspiring wellbeing is at the heart of what we do. Being mindful of wellness leads to better living. Our products provide soothing warmth and aromatic comfort for all ages, are safe for all ages and are loved by all ages. Warmies® are fully heatable, incredibly comfortable, and feel amazing. They provide stress and anxiety relief, promote restful sleep, and are perfectly weighted to provide a calming and positive sensory experience.

For centuries lavender has been synonymous with tranquility, relaxation, serenity, soothing and calm. Warmies® contain just the right amount of REAL dried French Lavender, sourced from local growers in Provence, France.
 "
It's a Wonderful Store,https://homeandgift.co.uk/exhibitor/its-a-wonderful-store,www.itsawonderfulstore.co.uk,"Glasgow, United Kingdom","Artwork, cards and gifts inspired by Frank Capra’s classic 1946 film – 'It’s a Wonderful Life'.

Whether searching for your own keepsake of the movie or looking to buy a special gift for a friend or loved one, our exclusive collection has something for the George Bailey fan in us all."
Ivy and Twine Candles,https://homeandgift.co.uk/exhibitor/ivy-and-twine-candles,www.ivyandtwinecandles.com,"Glenrothes, United Kingdom",description
Jamali-Annay Designs,https://homeandgift.co.uk/exhibitor/jamali-annay-designs,website,United Kingdom,description
Jane Buurman Handmade,https://homeandgift.co.uk/exhibitor/jane-buurman-handmade,www.janebuurmanhandmade.com,"Bath, United Kingdom",description
Janie Wilson Cards,https://homeandgift.co.uk/exhibitor/janie-wilson-cards,website,"Leeds, United Kingdom",description
J Boult Designs,https://homeandgift.co.uk/exhibitor/j-boult-designs,www.jboultdesigns.com,"Inverness, United Kingdom","J Boult Designs celebrates British conservation by upcycling natural and used materials, to create unique men’s gifts. Beautiful pieces such as cufflinks and keyrings are created with antler, slate, wood and fired cartridges, which are ethically sourced from Scottish estates. Made by hand in the J Boult Designs workshop on the Morvern peninsula by the Isle of Mull, J Boult Designs has a keen focus on quality and design."
Jellycat Limited,https://homeandgift.co.uk/exhibitor/jellycat-limited,www.jellycat.com,"London, United Kingdom","Jellycat designs gorgeous soft toys and lifestyle gifts with a delightful difference. Every year we launch dozens of original designs inspired by international trends, made from the most luxurious of fabrics and created, most importantly, for a good giggle! We have recently launched our irresistibly cuddly, sophisticatedly silly and most importantly hilariously humorous Mid -Year 2020 collection. We would love to introduce you to our new furry friends in our virtual showroom. Please do get in contact sales@jellycat.co.uk or call 02076039383 to book an appointment; either a group slot where you can join fellow retailers or a one to one appointment with a member of our friendly sales team or your local agent."
Jess and Lou,https://homeandgift.co.uk/exhibitor/jess-and-lou,www.jessandlou.com,"Swindon, United Kingdom",description
Jewelcity,https://homeandgift.co.uk/exhibitor/jewelcity,www.jewelcity.co.uk,"High Wycombe, United Kingdom",description
JK Henderson,https://homeandgift.co.uk/exhibitor/jk-henderson,www.jkhenderson.co.uk,"Bolton, United Kingdom",description
Joe Davies (Manchester),https://homeandgift.co.uk/exhibitor/joe-davies-manchester,www.joedavies.co.uk,"Stockport, United Kingdom","Servicing giftware retailers for over 100 years Founded in 1919 by Joe Davies as a Hardware and Fancy Goods Distributor, the business remains in the Davies family to this day. The Company has grown and gone through many changes, but it has retained its core traditional values of outstanding service and focus on looking after their customers, always maintaining that personal touch. Service, Choice, Value, Delivery Our Range has been developed over the years specifically for the needs of the independent retailer, which means a huge offering of over 10,000 product lines. The selection is always up-to-date and fresh, with 5000 new lines introduced each year, with on average 2500 new products are launched at both the NEC Spring Fair and Harrogate exhibitions. In addition to our own exclusively branded Shudehill Collection, we are also the UK's number one distributor of the Leonardo Collection in sensible quantities. Other top selling brands include our Equilibrium Jewellery & Fashion Accessories and cosy little foot coverings snoozies!. Some 30 years ago we coined the phrase ""Little & Often"" to sum up our attitude of offering minimum quantities and varied assortments to all customers, whatever their size. This ""Little and Often"" ordering philosophy, adopted by so many of our customers, has developed even further to include free next day delivery on all orders over £100. Our full current range can be viewed at our comfortable showrooms in South Manchester, if you would like to become a customer please visit here to register your interest or why not call us on +44 (0)161 975 6300 for more details."
Joe Davies (Manchester),https://homeandgift.co.uk/exhibitor/joe-davies-manchester,www.joedavies.co.uk,"Stockport, United Kingdom","Servicing giftware retailers for over 100 years Founded in 1919 by Joe Davies as a Hardware and Fancy Goods Distributor, the business remains in the Davies family to this day. The Company has grown and gone through many changes, but it has retained its core traditional values of outstanding service and focus on looking after their customers, always maintaining that personal touch. Service, Choice, Value, Delivery Our Range has been developed over the years specifically for the needs of the independent retailer, which means a huge offering of over 10,000 product lines. The selection is always up-to-date and fresh, with 5000 new lines introduced each year, with on average 2500 new products are launched at both the NEC Spring Fair and Harrogate exhibitions. In addition to our own exclusively branded Shudehill Collection, we are also the UK's number one distributor of the Leonardo Collection in sensible quantities. Other top selling brands include our Equilibrium Jewellery & Fashion Accessories and cosy little foot coverings snoozies!. Some 30 years ago we coined the phrase ""Little & Often"" to sum up our attitude of offering minimum quantities and varied assortments to all customers, whatever their size. This ""Little and Often"" ordering philosophy, adopted by so many of our customers, has developed even further to include free next day delivery on all orders over £100. Our full current range can be viewed at our comfortable showrooms in South Manchester, if you would like to become a customer please visit here to register your interest or why not call us on +44 (0)161 975 6300 for more details."
John Austin Postcards,https://homeandgift.co.uk/exhibitor/john-austin-postcards,website,United Kingdom,description
Jomanda,https://homeandgift.co.uk/exhibitor/jomanda,www.jomanda.co.uk,"Leicester, United Kingdom","Jomanda has become an established soft toy company, distributing to gift shops, toy shops,and boutiques in the UK and Europe, as well as selling directly to the public. All of our toys are suitable from birth, carrying the CE mark, with the emphasis on quality and durability."
Jormaepourri Ltd,https://homeandgift.co.uk/exhibitor/jormaepourri-ltd,www.jormaepourri-wholesale.co.uk,"Cheltenham, United Kingdom","Gloucestershire based company takes great pride in the design and manufacture of wreaths, garlands, pot pourri and many other decorative items. A vast range of beautifully hand made products all lovingly made utilizing natural sources from around the globe incorporating fragrant lavender, roses, dried fruits and flowers."
JOYA,https://homeandgift.co.uk/exhibitor/joya,www.joyaonline.co.uk,"Stroud, United Kingdom",Joya have been designing and producing Bamboo and Wool Blend Socks for 7 years. View our exciting range of socks at www.joyaonline.co.uk
Jules Jules,https://homeandgift.co.uk/exhibitor/jules-jules,www.julesjules.co.uk,"Newcastle upon Tyne, United Kingdom",description
Julie Clarke Candles,https://homeandgift.co.uk/exhibitor/julie-clarke-candles,www.julieclarkecandles.com,"Gaillimh, Ireland","ABOUT JULIE CLARKE CANDLES NEW Introducing Botanic - a new range of fragranced candles, hand poured into beautiful bone china vessels with real gold and embossment floral pattern. ABOUT JULIE CLARKE CANDLES Each Julie Clarke Candle is designed and hand made at our candle workshop in Galway, Ireland. Julie Clarke candles use 100% pure natural waxes that come from a biodegradable renewable resource. Soy wax is blended with our other natural and sustainable waxes of Canola (derived from rapeseed), Coconut, and Bees wax. Unlike paraffin wax, our natural wax burns cleaner with no petrol-carbon soot. Our wicks are made from unbleached cotton interwoven with linen thread. Our wonderful aromas are created by the addition of our bespoke blend of the finest essential oils. All our candles and diffusers are contained in fine porcelain vessels. The translucency of fine porcelain is complimented by the flickering reflections of candle light. All our candles come with silver colour or porcelain lids to keep the candles clean when not in use. A luxurious gift box completes the gift. There are four distinct stories in the range: –:Blue Floral Lantern: The porcelain is decorated with a floral pattern to complement the botanical fragrances. The vessel can later be used as a tealight lantern. – Blue Peacock Set: A modern twist to a traditional botanical pattern, with a beautifully shaped porcelain diffuser and candle set – White Porcelain Candles: This is a simple classic, with a pure white porcelain vessel and silver lid. – Botanic : Fragranced candles, hand poured into beautiful bone china vessels with real gold and embossment floral pattern. CONTACT Julie Clarke +353 91 654002 Mountscribe Kimvara Co Galway jcsales@julieclarkecandles.com https://julieclarkecandles.com/"
Julie Dodsworth,https://homeandgift.co.uk/exhibitor/julie-dodsworth,www.juliedodsworth.co.uk,United Kingdom,"HELLO & WELCOME To the artisan world of Julie Dodsworth Home & Gift The Julie Dodsworth brand has come such a long way in our first few years. From our humble beginning aboard our beloved Narrowboat Calamity Jane we have taken those hand painted designs all over the world. With our prints on everything from Barbour to biscuits and watering cans to wellies! We have a large collection of licenced products with fabulous companies such as Churchill China alongside all our own in house products all handmade inthe UK ranging from Bath & Body to Greetings Cards. Would you like to sell Julie Dodsworth products in your shop? We are here to help. Visit our stand at Harrogate home & Gift to see our brand new collections and show offers! If you can’t make the show then simply contact us and we will send you a price list for our fantastic collection. We offer no minimum orders and can create a bespoke package to suit you! Call Beth on 07977137126 or e-mail via our contact form on www.juliedodsworth.co.uk for a trade price list, pack sides and offers!"
Jumini,https://homeandgift.co.uk/exhibitor/jumini-4849b507,website,United Kingdom,description
Jura Toys UK Ltd,https://homeandgift.co.uk/exhibitor/jura-toys-uk-ltd,janod.com,"London, United Kingdom",description
Kali Ma Designs Ltd,https://homeandgift.co.uk/exhibitor/kali-ma-designs-ltd,website,"Newton Abbot, United Kingdom",description
KARRMA HOMEWARE & LIFESTYLE,https://homeandgift.co.uk/exhibitor/karrma-homeware--lifestyle,website,"Sousse, Tunisia","KARRMA is a Tunisian Homeware & Lifestyle Brand first launched in 2018. Definition of ""karrma"" Tunisian word for Fig Tree. We design and create beautifully hand made home and lifestyle products, We work with artisans from all around Tunisia, combining timeless designs with traditional skills and natural materials."
Kelso and Titch,https://homeandgift.co.uk/exhibitor/kelso-and-titch,www.kelsoandtitchtrade.co.uk,"Alloa, United Kingdom","At Kelso and Titch we believe that our dogs deserve the tastiest, most delicious and healthiest treats possible. Our yummy treats are hand baked in our bakery in Scotland and delivered fresh to your door for your furry friend to enjoy. We never add salt, sugar, colours or preservatives and use only natural human grade ingredients sourced from British producers. We are an APHA approved Pet Food Plant in accordance with (EC) Regulation 1069/2009. In a variety of flavours and gift options, we’re sure there’s something for everyone. We also understand that some of our furry friends are sensitive souls and so we offer a range of wheat free, grain free and vegetarian treats to suit all tastes."
Kerez Ltd,https://homeandgift.co.uk/exhibitor/kerez-ltd,www.kerezltd.com,"Leeds, United Kingdom",We love all things beads and as such our products play homage to the beauty and versatility of beads.
Kikkerland Europe BV,https://homeandgift.co.uk/exhibitor/kikkerland-europe-bv,www.kikkerland.com,"Rotterdam, Netherlands","Since 1992 Kikkerland Design has established itself as one of the top companies in the world offering unique, well designed products to inspire our customers and their needs. Kikkerland supports and represents independent, self-producing designers from around the world. In addition, our 15-person in-house design team creates and develops new products every day. Today, Kikkerland Design continues to offer the world’s largest collection of ingenious items combining form, function, and delight in equal parts. Found in thousands of stores around the world, including museums, independent specialty stores, department stores, grocery, garden and hardware stores. At Kikkerland Design we pride ourselves on giving back to local and global organizations, ranging from ecological restoration projects to creative writing and design programs for underserved youth."
Kitsch Republic,https://homeandgift.co.uk/exhibitor/kitsch-republic,website,"Stockport, United Kingdom",description
KMI Brands,https://homeandgift.co.uk/exhibitor/kmi-brands,kmibrands.com,"Aberdare, United Kingdom","We design, develop and market award-winning brands with a reputation in innovating quality, performance-led products. This is underpinned by long standing, best in class partnerships with global retailers, distributors and suppliers. KMI unites and develops the beauty market for leading high street brands under license as well as its own portfolio of brands. Nominated for over 30 awards and won 20 in 2018, adding to previous coveted award wins including Best Innovation and Best Product/Service Range at the Best Business Awards. KMI’s portfolio includes Ted Baker, Ted’s Grooming Room, Noughty Haircare and Orla Kiely, covering a wide range of categories such as men’s grooming, haircare, home, fragrance and beauty. One of the fastest-growing British beauty businesses, working with renowned British retailers (Boots, The Fragrance Shop, Superdrug and John Lewis). Global distributors include Ulta and Nordstrom in the US, Priceline in Australia and various partners across Canada, the Middle East, South Africa and Scandinavia. The head office is based in London, UK with a US office in New York."
Kris-Ana,https://homeandgift.co.uk/exhibitor/kris-ana,website,United Kingdom,description
Kushboo Soaps,https://homeandgift.co.uk/exhibitor/kushboo-soaps,www.kushboosoaps.co.uk,"Clitheroe, United Kingdom","100% Natural | Vegan | Plastic Free | Cruelty Free | Handmade In England We only use the finest natural plant based ingredients & blends of pure essential oils & exfoliating botanics to stimulate your senses & nourish your skin. All of our skincare is SLS & Paraben-Free. We believe that soap is dignity so for every bar of soap sold, we donate a bar to charity to help a vulnerable person. All Kushboo skincare is handmade with love in our own soap kitchen, in the beautiful Ribble Valley, England."
La De Da Living,https://homeandgift.co.uk/exhibitor/la-de-da-living,www.trade.ladedaliving.co.uk,"Cheltenham, United Kingdom","La de da! Living was established in 2011 by sisters Rita & Dominique. It was created from the girls’ desire to offer unique and thoughtful gifts to be truly loved and treasured forever. Best known for being ‘The home of hand stamped vintage cutlery’ the award winning La de da! Living now boasts many much loved gift collections, a large ever-growing customer database and international presence. Rita & Dominique are so proud that their little company has come so far and cannot wait to see what the future holds, dreams really do come true! ‘Work Hard, Dream Big, Aim High’ The girls are passionate about designing their iconic collections and hope you love them as much as they do."
Lagoon Group,https://homeandgift.co.uk/exhibitor/lagoon-group,www.thelagoongroup.com,"Richmond, United Kingdom","The Lagoon Group is the UK’s leading supplier of games and puzzles as gifts. All of our fabulous products are designed in house by a team of brilliant, creative minds who are constantly conjuring up cleverly-packaged new games that fly off the shelves. Innovation and originality are key to what we do at Lagoon and we understand how crucial exciting new gifts are so have launched more than 70 new titles in 2019 alone. From best-selling licences such as The World of David Walliams, Einstein and Professor Rubik to our Lagoon favourites like Tabletop Games and Mindbending Puzzles books, we have something for everyone and every occasion. We are very excited to be launching our fabulous new range of Tabletop Brainbox at Home & Gift 2019. Inspired by the world-renowned visual memory games which have sold over 7 million games globally these tabletop-sized games are a firm family favourite. Simply study the card for 10 seconds then answer a question on the roll of a die. Fun, fast-paced and educational these great, compact games provide endless entertainment as well as improving visual recall."
Laura's Confectionery Ltd,https://homeandgift.co.uk/exhibitor/lauras-confectionery-ltd,www.laurasgroup.co.uk,"Retford, United Kingdom","Here at Laura's we are forever growing and changing. We are built from a creative and innovative team that strive for nothing other than greatness. We expect every customer to receive the best customer service and experience. It is our goal to have a worldwide confectionery brand, creating a special experience throughout our products and organisation."
Leather Guild,https://homeandgift.co.uk/exhibitor/leather-guild,www.leatherguild.co.uk,United Kingdom,"It’s full on at Leather Guild since being awarded Gift of the Year 2019 for our “Fetch This” canine collection for dapper dogs. After seeing the success we enjoyed with our unique designs of leather and pure Scottish wool tweed, for men and women, we looked at the pets sector and came up with collars, leads and bow ties for dogs. As this requires the skills of a saddler we developed the collars and leads in conjunction with our jeans belt range and in turn added saddlery to the Guild of crafts and skills that make up Leather Guild. The tweeds used in our products are our unique designs so only Leather Guild products will feature these tweeds. They are woven in the Islay Woollen Mill where they have been weaving wool since the early 1800s. Their looms produce a very tight weave which is both tough and durable. At the finishing stage we apply DuPont Teflon coating for improved stain and moisture resistance. Practical and more importantly - beautiful - to use and own. The unique range of engraved wallets for men, featuring over 30 designs, was Highly Commended in Gift of the Year 2018 and have enjoyed considerable success. Our ranges include bags, purses, wallets, belts, collars, leads and gloves in both leather and leather/ tweed combos. Our unique tweed is also made into ties and bow ties for both four legged and two legged creatures. Look out for our “walk the dog” bags and the new backpacks."
LEFRIK INTERNET RETAIL SL,https://homeandgift.co.uk/exhibitor/lefrik-internet-retail-sl,www.lefrik.com,"Madrid, Spain",description
