name,website,company-overview
Saint Ives Liquor Co,http://www.stivesliquor.co,"From the smooth cobblestones of St Ives, to the wild cliffs of Zennor, St Ives Liquor Co captures Cornish spirit in each and every sip. SILCo handcrafts a range of decidedly different premium liquors and liqueurs."
Saputo Dairy UK,http://www.saputo.com,"Based in North Cornwall the Davidstow Creamery is renowned for its multi-award winning cheddar. Made with Cornish milk, we maintain the principles of traditional cheese-making and combine them with modern methods, resulting in exceptional cheddar every time."
Seabuck Tonic,http://www.seabucktonic.co.uk,"Sea Buck was created by Cornish duo Pablo and Charlie in their hometown of St Ives. A shared passion for exceptional ingredients and experiences led them to develop their own take on their favourite mixer – Tonic Water. The result being a unique mix of Cornish spring water, infused with quinine-producing cinchona bark and sea buckthorn berries."
Sharps Brewery Ltd,http://www.sharpsbrewery.co.uk,"With a mission that has always been to make quality beer on the North Cornish Coast, we are proud to bring together the best of brewing heritage, merging simple craftsmanship with complex knowledge."
Skinner's Brewing Company Ltd,http://www.skinnersbrewery.com,"Hand crimped beers, independently brewed in Cornwall. Visit Skinner's stand and sample our iconic range of cask and keg ales as well as Towans Cornish Lager and our 'Untameable' Porthleven Pale Ale which is now available in cans! #ThirstResponseTeam"
South West Labels,http://southwestlabels.co.uk,Supplier of stock and bespoke labels and label printers.
South West Regional Cyber Crime Unit (SWRCCU),http://www.swrocu.police.uk/cyber-crime,"The SWRCCU offer free advice to protect organisations from Cyber Crime. With 32% of business experiencing a cyber-attack or breach in 2019, come and have a chat to understand how simple steps can increase your organisation's cyber security."
St Ives Cider Ltd,http://www.stivescider.co.uk,"A small batch artisan cider producer based on the edge of St Ives. We can supply a range of styles of cider, apple juice and cider vinegar to trade anywhere in Cornwall."
Stearn Electric Co Ltd,http://www.stearn.co.uk,"Stearn are a National Super Distributor across markets including Leisure Supplies, Electrical Wholesale, Student Accommodation Supplies and more. We excel in service dependent markets with a strong focus on offering a personal and bespoke approach."
Steevenson Wines Ltd,http://www.steevensonwines.co.uk,"Steevenson Wines of Tavistok -   For over 30 years supplying the demanding needs of both the hotel and restaurant trade, as well as those of corporate businesses throughout the South West. Quality - value - intrigue - unrivalled professional service."
Sun Bum,http://www.coolbythepool.co.uk,"Sun Bum is a premium brand of sun care products specifically formulated for those who live and love in the sun. All our products are UVA / UVB Broad Spectrum Protection, Water Resistant,  Cruelty Free, Vegan & Reef Friendly."
T Quality Ltd,http://www.tquality.co.uk,"The national Fish and Chip shop supplier and food wholesaler delivering your food service solution. TQuality has over 1,000 products including fish, pizza, 
burgers, tinned goods, oils, pies, chicken, eco packaging, drinks, and much more."
Tarquin's Gin,http://www.tarquinsgin.com,"As a fully-independent distillery nestled on a windswept hilltop overlooking the wild Cornish coast, we proudly champion a combination of the authentically traditional and the progressively modern in all we do."
Taste of the West Ltd,http://www.tasteofthewest.co.uk,"Taste of the West, the UK’s largest regional food group, supports food and drink producers as well as retail, foodservice and affiliated businesses. Our members receive advertising, advice and free entry into the Taste of the West Awards – all for less than £3 a week."
Teapigs Ltd,http://www.teapigs.co.uk,"Teapigs’ unrivalled range includes whole leaf teas, matcha green tea, functional “feel good” teas and cold brew infusions. The teas come in different formats to suit all business needs. We also offer teaware, tea training and lots of POS materials."
Thatchers Cider,http://www.thatcherscider.co.uk,"Thatchers marries four generations of experience and passion for innovation to create an acclaimed range of exciting ciders, from light and fresh for those who love a fruity apple pint through to full-bodied bittersweet for connoisseurs of traditional cider."
The Candy Company,http://www.cornishfudge.com,Personalised & private label fudge boxes & biscuit tubes for the hotel & gift trade.
The Coffee Boss,http://www.thecoffeeboss.co.uk,"We are a nationwide company with over 25 years of experience in the design, supply and installation of fully automated bean to cup coffee machines. We will have fantastic show offers available."
The Cornish Biltong Company,http://www.cornishbiltong.co.uk,"Premium Biltong needs premium beef. We rear ours in Cornwall and Devon, using only the richest, leanest cuts. It's then marinated in our classic blend of spices and dried, to create an irresistibly meaty snack."
The Cornish Larder,http://www.thecornishlarder.co.uk,Preserves & sauces celebrating Cornish produce.
The Cornish Moonshine Company,http://www.cornishmoonshine.com/,"Cornish Moonshine, the best kept secret from the deepest, darkest corners of Cornwall. From 50% proof Devil Water to the irresistible Apple Pie & Sticky Toffee, you'll be breaking the rules for another bottle! Best served in the shadows."
The Fresh Coffee Company,http://www.thefreshcoffeecompany.com,We supply premium quality coffee & service along with a very personal approach to supporting your business. Come and see what we're all about and find out why our customers choose to work with us...
The Knowledge Hub,http://www.theomnimarket.com,"Staffed by the “Executive Members” of the Cornwall Business Forum, the Knowledge Hub delivers a series of topical presentations and stories at the show and members are on hand to spend time with visitors to share their knowledge."
The Precious Pea,http://www.natural-vitality.co.uk,"The Precious Pea make the healthiest organic houmous in the market. Low in fat, beautifully packaged and made with extra virgin olive oil the range is stocked by premium retailers across the country."
Themptation,http://www.themptation.co.uk,The UK's leading organic hemp food company. Themptation specialise in certified organic vegan & Free From health foods. Listed with three major national distributors that cover the whole of the UK inc. the organic multiples in London.
Total Produce (Cornwall),http://www.totalproduce.com,"Fresh produce wholesalers covering the whole of the South West. Offering the best locally grown, British and imported produce, as well as an extensive range of dry goods and dairy to retail and catering outlets."
Treleavens Luxury Ice Cream,http://www.treleavens.co.uk,"Producer of artisan ice cream and sorbet. Handmade in Cornwall, we use milk from Cornish Cows, Italian flavour bases and freshly frozen fruits plus as little air as possible to keep the ice cream dense and crowded with flavour."
Trevibban Mill Ltd,http://www.trevibbanmill.com,"Cornwall’s multi award winning boutique certified organic winery, vineyard and orchards. Makes outstanding still, sparkling white and red wines. Excellent range of ciders made using freshly pressed apples from onsite orchards; including PinkCider (with grapes), TigerMilk (whole apple fermented)."
Trewithen Dairy,http://www.trewithendairy.co.uk,"Dairy farmers Rachel and Bill Clarke began processing milk and cream more than 20 years ago. Now joined by sons Francis and George, they produce butter and yoghurt too, using milk from within 25 miles of their Cornish dairy."
Trimford Ltd,http://www.westoncateringsupplies.com,"Europe's leading manufacturer of Donut Machines. Suppliers of Slush Machines, donut mixes, crepe mixes. New for 2020 Churros machines and mixes."
Voyager Coffee,http://www.voyagercoffee.co.uk,"Based in the heart of Devon, at Voyager Coffee, we pride ourselves on helping local coffee shops, hotels, restaurants, cafes and attractions serve mouthwatering coffee menus with the best hand roasted coffees in the South West."
Wadebridge Wines,http://www.wadebridgewines.co.uk,"Exotic finds, an artisanal range, service and advice; that's really what sets this family run trade business apart. Wines show flare and insight in the marketplace, from quirky to decadent. Find inspiration for your wine list to inspire your clientele and team."
Warner Edwards Distillery,http://www.warnersdistillery.com,"Warners Gin, UK's leading premium flavoured gin range, the original creator of Rhubarb Gin. The UK's farm born gin range, made from natural botanics that are grown on the farm."
Westcountry Fruit Sales Ltd,http://www.apassionforfood.co.uk,"Westcountry’s oldest and largest independent specialist wholesaler of fresh produce, dry stores and chilled dairy goods. Established in 1856, the business has a proud reputation for delivering excellence.  We grow, source and curate a wide range of inspiring products."
Western Office Equipment,http://westernofficeequipment.co.uk,"EPoS Solutions across Devon & Cornwall. A friendly family business, serving you for over 40 years. We are an authorised partner and supplier of ICRTouch EPoS software for over 20 years and Casio Partner for over 30 years."
White Cloud Laundry & Linen Services Ltd,http://www.whitecloudlaundry.co.uk,"White Cloud Laundry & its sister company Padstow Laundry offer a laundry service of the highest quality.  Fine quality linen and towel hire.   Collection, delivery or direct drop off to the Laundry is available.  Bespoke requirements implemented if possible."
Wovina,http://www.wovina.com,"From industrial workwear to corporate hospitality, we offer a wide range of clothing ready to be decorated with your logo. With over 50 years of experience our embroidery and print expertise will have your branding looking great on your uniform."
Yeo Valley Ltd,http://www.yeovalley.co.uk,"Yeo Valley is a family owned dairy based in Blagdon, Somerset. Organic produce is at the heart of all that we do, with the Yeo Valley range now widely recognised and trusted to have great taste and quality."
Yummy Scrummy Bakery,http://www.yummyscrummybakery.co.uk,Yummy Scrummy Wholesale Cakes - We are a family business born with a passion for good quality food. We source our produce locally. We use organic where possible. Everything is homemade and handmade with Yummy Scrummy love.
